user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
AaronLatestTest,7oPTiW1fZyvIPeYOZTY4Wh,Flying or Crying,Zach Bryan,DeAnn,2019-08-24,66,169962,True,spotify:track:7oPTiW1fZyvIPeYOZTY4Wh,Unknown,0.717,0.168,7,-12.82,1,0.0353,0.803,0,0.0826,0.5,103.767,audio_features,https://api.spotify.com/v1/tracks/7oPTiW1fZyvIPeYOZTY4Wh,https://api.spotify.com/v1/audio-analysis/7oPTiW1fZyvIPeYOZTY4Wh,4
AaronLatestTest,3YlHvC8fJhnQdbCbeEPsS2,Other Than That,J.R. Carroll,Other Than That,2022-07-07,37,258480,False,spotify:track:3YlHvC8fJhnQdbCbeEPsS2,Unknown,0.626,0.48,10,-7.411,1,0.031,0.353,0,0.104,0.366,125.198,audio_features,https://api.spotify.com/v1/tracks/3YlHvC8fJhnQdbCbeEPsS2,https://api.spotify.com/v1/audio-analysis/3YlHvC8fJhnQdbCbeEPsS2,4
AaronLatestTest,6Wxx1jXr6EyGdt8RuYFzvj,Letting Someone Go,Zach Bryan,DeAnn,2019-08-24,70,239761,False,spotify:track:6Wxx1jXr6EyGdt8RuYFzvj,Unknown,0.543,0.117,0,-15.153,1,0.0389,0.811,0,0.147,0.395,83.607,audio_features,https://api.spotify.com/v1/tracks/6Wxx1jXr6EyGdt8RuYFzvj,https://api.spotify.com/v1/audio-analysis/6Wxx1jXr6EyGdt8RuYFzvj,4
AaronLatestTest,2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,Chris Stapleton,Starting Over,2020-11-13,79,213493,False,spotify:track:2UikqkwBv7aIvlixeVXHWt,Unknown,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,audio_features,https://api.spotify.com/v1/tracks/2UikqkwBv7aIvlixeVXHWt,https://api.spotify.com/v1/audio-analysis/2UikqkwBv7aIvlixeVXHWt,4
AaronLatestTest,4BXkf6yww23Vdju7E1fUrn,Whiskey Lullaby (feat. Alison Krauss),Brad Paisley,Hits Alive,2010-11-02,63,259453,False,spotify:track:4BXkf6yww23Vdju7E1fUrn,Unknown,0.587,0.35,2,-10.954,1,0.0318,0.74,0,0.156,0.17,74.479,audio_features,https://api.spotify.com/v1/tracks/4BXkf6yww23Vdju7E1fUrn,https://api.spotify.com/v1/audio-analysis/4BXkf6yww23Vdju7E1fUrn,4
AaronLatestTest,698eQRku24PIYPQPHItKlA,She Got the Best of Me,Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,78,183160,False,spotify:track:698eQRku24PIYPQPHItKlA,Unknown,0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,audio_features,https://api.spotify.com/v1/tracks/698eQRku24PIYPQPHItKlA,https://api.spotify.com/v1/audio-analysis/698eQRku24PIYPQPHItKlA,4
AaronLatestTest,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,Brooks & Dunn,#1s ... and then some,2009-09-08,72,263760,False,spotify:track:3EUl8M6SzxZl03NPkB8mUd,Unknown,0.698,0.632,9,-6.508,1,0.0247,0.554,0,0.118,0.458,102.408,audio_features,https://api.spotify.com/v1/tracks/3EUl8M6SzxZl03NPkB8mUd,https://api.spotify.com/v1/audio-analysis/3EUl8M6SzxZl03NPkB8mUd,4
AaronLatestTest,0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,In A Perfect World (Expanded Edition),2013-06-17,80,305747,False,spotify:track:0NlGoUyOJSuSHmngoibVAs,Unknown,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,audio_features,https://api.spotify.com/v1/tracks/0NlGoUyOJSuSHmngoibVAs,https://api.spotify.com/v1/audio-analysis/0NlGoUyOJSuSHmngoibVAs,3
AaronLatestTest,7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,Before You Go,2019-11-19,73,215107,False,spotify:track:7ce20yLkzuXXLUhzIDoZih,Unknown,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,audio_features,https://api.spotify.com/v1/tracks/7ce20yLkzuXXLUhzIDoZih,https://api.spotify.com/v1/audio-analysis/7ce20yLkzuXXLUhzIDoZih,4
AaronLatestTest,5JvHFo8DB7qgbGHnF5iAKU,Be Alright - Acoustic,Dean Lewis,Be Alright (Acoustic),2018-09-07,66,197972,True,spotify:track:5JvHFo8DB7qgbGHnF5iAKU,Unknown,0.681,0.341,9,-9.016,1,0.0567,0.864,0,0.319,0.431,126.242,audio_features,https://api.spotify.com/v1/tracks/5JvHFo8DB7qgbGHnF5iAKU,https://api.spotify.com/v1/audio-analysis/5JvHFo8DB7qgbGHnF5iAKU,4
AaronLatestTest,09Y8MeZttjH9xvmvxlACEz,Lying To You,Keaton Henson,Birthdays (Deluxe Edition),2013-04-09,28,318960,False,spotify:track:09Y8MeZttjH9xvmvxlACEz,Unknown,0.392,0.183,5,-14.37,1,0.0602,0.929,0.00033,0.0898,0.0578,104.128,audio_features,https://api.spotify.com/v1/tracks/09Y8MeZttjH9xvmvxlACEz,https://api.spotify.com/v1/audio-analysis/09Y8MeZttjH9xvmvxlACEz,4
AaronLatestTest,6EqF11d0EPJwVynLXu3gvY,Dance Now (with Kenny Mason),JID,Dance Now (with Kenny Mason),2022-08-09,14,227556,True,spotify:track:6EqF11d0EPJwVynLXu3gvY,Unknown,0.78,0.494,1,-10.97,1,0.251,0.0955,1.34e-05,0.23,0.298,135.013,audio_features,https://api.spotify.com/v1/tracks/6EqF11d0EPJwVynLXu3gvY,https://api.spotify.com/v1/audio-analysis/6EqF11d0EPJwVynLXu3gvY,4
AaronLatestTest,74PIF3XMo1MpPutKxQYPGy,24 48,sammy rash,24 48,2022-04-15,43,153066,False,spotify:track:74PIF3XMo1MpPutKxQYPGy,Unknown,0.877,0.36,10,-8.231,1,0.0516,0.396,0,0.159,0.6,134.996,audio_features,https://api.spotify.com/v1/tracks/74PIF3XMo1MpPutKxQYPGy,https://api.spotify.com/v1/audio-analysis/74PIF3XMo1MpPutKxQYPGy,4
AaronLatestTest,3c494sJzoICdO68U1ic8RR,I'm Workin',Charley Crockett,In the Night,2016-06-06,51,152933,False,spotify:track:3c494sJzoICdO68U1ic8RR,Unknown,0.771,0.807,5,-4.582,0,0.0579,0.596,0.00505,0.0915,0.962,94.02,audio_features,https://api.spotify.com/v1/tracks/3c494sJzoICdO68U1ic8RR,https://api.spotify.com/v1/audio-analysis/3c494sJzoICdO68U1ic8RR,4
AaronLatestTest,0lywqgKF3aEuSxWNtJe2uW,Soapbox,Brent Cobb,Keep 'Em on They Toes,2020-10-02,39,242347,False,spotify:track:0lywqgKF3aEuSxWNtJe2uW,Unknown,0.892,0.47,0,-8.413,1,0.0368,0.75,0,0.0817,0.784,108.92,audio_features,https://api.spotify.com/v1/tracks/0lywqgKF3aEuSxWNtJe2uW,https://api.spotify.com/v1/audio-analysis/0lywqgKF3aEuSxWNtJe2uW,4
AaronLatestTest,7eQHxigpuDJjCG50JyzU8v,Butterflies,MAX,Butterflies,2021-06-25,74,191250,False,spotify:track:7eQHxigpuDJjCG50JyzU8v,Unknown,0.7,0.613,11,-4.041,1,0.0408,0.385,0,0.0887,0.42,88.084,audio_features,https://api.spotify.com/v1/tracks/7eQHxigpuDJjCG50JyzU8v,https://api.spotify.com/v1/audio-analysis/7eQHxigpuDJjCG50JyzU8v,4
AaronLatestTest,7rbyanfYmTQOh8ZCRtgpG5,Lavender,Ashleigh Ball,Lavender,2020-08-18,17,266475,True,spotify:track:7rbyanfYmTQOh8ZCRtgpG5,Unknown,0.631,0.818,2,-4.523,1,0.0902,0.297,0.0209,0.208,0.624,147.031,audio_features,https://api.spotify.com/v1/tracks/7rbyanfYmTQOh8ZCRtgpG5,https://api.spotify.com/v1/audio-analysis/7rbyanfYmTQOh8ZCRtgpG5,4
AaronLatestTest,2bsuvsOwkhIstFmn0IHkhG,Will It Ever Feel The Same?,Bazzi,Will It Ever Feel The Same?,2022-05-12,3,180339,True,spotify:track:2bsuvsOwkhIstFmn0IHkhG,Unknown,0.639,0.544,4,-6.152,1,0.0391,0.586,0,0.463,0.483,129.908,audio_features,https://api.spotify.com/v1/tracks/2bsuvsOwkhIstFmn0IHkhG,https://api.spotify.com/v1/audio-analysis/2bsuvsOwkhIstFmn0IHkhG,4
AaronLatestTest,6AFCzc3nQRvUjXrCBeXHkL,2 Moods,Teddy Swims,2 Moods,2022-06-10,7,144902,False,spotify:track:6AFCzc3nQRvUjXrCBeXHkL,Unknown,0.757,0.667,9,-7.234,1,0.208,0.0559,0.00236,0.0828,0.528,165.03,audio_features,https://api.spotify.com/v1/tracks/6AFCzc3nQRvUjXrCBeXHkL,https://api.spotify.com/v1/audio-analysis/6AFCzc3nQRvUjXrCBeXHkL,4
AaronLatestTest,523q4Qv07ylHCirIKvpucr,Don't Need a Lot,Senora May,Lainhart,2018-09-08,31,135500,True,spotify:track:523q4Qv07ylHCirIKvpucr,Unknown,0.62,0.0869,0,-18.836,1,0.0425,0.869,2.46e-05,0.128,0.465,127.275,audio_features,https://api.spotify.com/v1/tracks/523q4Qv07ylHCirIKvpucr,https://api.spotify.com/v1/audio-analysis/523q4Qv07ylHCirIKvpucr,4
AaronLatestTest,3r6fLs765ik974UZyrfMMq,MISUNDERSTOOD,Russ,MISUNDERSTOOD,2021-02-19,0,171375,False,spotify:track:3r6fLs765ik974UZyrfMMq,Unknown,0.714,0.529,1,-9.449,0,0.0598,0.524,2.12e-06,0.108,0.216,120.002,audio_features,https://api.spotify.com/v1/tracks/3r6fLs765ik974UZyrfMMq,https://api.spotify.com/v1/audio-analysis/3r6fLs765ik974UZyrfMMq,4
AaronLatestTest,4v1TTTCadimzZkTuDTnYBc,HANDSOMER,Russ,HANDSOMER,2022-02-04,61,143415,True,spotify:track:4v1TTTCadimzZkTuDTnYBc,Unknown,0.886,0.651,8,-6.413,1,0.222,0.188,0,0.11,0.476,81.985,audio_features,https://api.spotify.com/v1/tracks/4v1TTTCadimzZkTuDTnYBc,https://api.spotify.com/v1/audio-analysis/4v1TTTCadimzZkTuDTnYBc,4
AaronLatestTest,1Uacdg0eFpE2bpjS90feZQ,Keeping The Light On,Joy Oladokun,Keeping The Light On,2022-01-21,54,223629,False,spotify:track:1Uacdg0eFpE2bpjS90feZQ,Unknown,0.69,0.693,5,-6.252,1,0.0577,0.186,2.39e-06,0.0927,0.728,83.99,audio_features,https://api.spotify.com/v1/tracks/1Uacdg0eFpE2bpjS90feZQ,https://api.spotify.com/v1/audio-analysis/1Uacdg0eFpE2bpjS90feZQ,4
AaronLatestTest,4Hn4zAkBUaNnT8m9p7cYaf,Joy,Andy Grammer,Joy,2022-01-28,65,193621,False,spotify:track:4Hn4zAkBUaNnT8m9p7cYaf,Unknown,0.675,0.793,2,-6.0,1,0.157,0.108,0,0.103,0.233,111.907,audio_features,https://api.spotify.com/v1/tracks/4Hn4zAkBUaNnT8m9p7cYaf,https://api.spotify.com/v1/audio-analysis/4Hn4zAkBUaNnT8m9p7cYaf,4
AaronLatestTest,5aGlygs4voalgMxBCCSg4l,You're Still The One,Lake Street Dive,Fun Machine: The Sequel,2022-09-09,48,263613,False,spotify:track:5aGlygs4voalgMxBCCSg4l,Unknown,0.782,0.37,5,-7.279,0,0.0519,0.224,0,0.0987,0.73,114.06,audio_features,https://api.spotify.com/v1/tracks/5aGlygs4voalgMxBCCSg4l,https://api.spotify.com/v1/audio-analysis/5aGlygs4voalgMxBCCSg4l,4
AaronLatestTest,78HpdJlNoppURkMmE0dogS,Sweet Symphony (with Chris Stapleton),Joy Oladokun,Sweet Symphony,2022-09-23,65,228077,False,spotify:track:78HpdJlNoppURkMmE0dogS,Unknown,0.396,0.278,8,-9.526,1,0.05,0.796,6.92e-06,0.115,0.155,169.93,audio_features,https://api.spotify.com/v1/tracks/78HpdJlNoppURkMmE0dogS,https://api.spotify.com/v1/audio-analysis/78HpdJlNoppURkMmE0dogS,3
AaronLatestTest,51206vFh5RmtMYIzmCzQw2,Stacy (Acoustic),Quinn XCII,Stacy (Acoustic),2019-08-16,37,182187,False,spotify:track:51206vFh5RmtMYIzmCzQw2,Unknown,0.638,0.351,7,-9.15,1,0.036,0.816,0,0.14,0.458,98.166,audio_features,https://api.spotify.com/v1/tracks/51206vFh5RmtMYIzmCzQw2,https://api.spotify.com/v1/audio-analysis/51206vFh5RmtMYIzmCzQw2,4
