user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
clayton,2PhptzkiJ8kVQsO7tpRWLS,Wayfinding,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,45,112373,False,spotify:track:2PhptzkiJ8kVQsO7tpRWLS,Unknown,soundtrack,0.505,0.422,9,-17.394,1,0.0529,0.785,0.949,0.0793,0.31,128.044,audio_features,https://api.spotify.com/v1/tracks/2PhptzkiJ8kVQsO7tpRWLS,https://api.spotify.com/v1/audio-analysis/2PhptzkiJ8kVQsO7tpRWLS,4
clayton,2TPAS9lv9qceJT7o8oSNep,Tala Returns,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,47,61987,False,spotify:track:2TPAS9lv9qceJT7o8oSNep,Unknown,soundtrack,0.281,0.075,0,-24.905,1,0.0436,0.81,0.698,0.0822,0.0397,44.998,audio_features,https://api.spotify.com/v1/tracks/2TPAS9lv9qceJT7o8oSNep,https://api.spotify.com/v1/audio-analysis/2TPAS9lv9qceJT7o8oSNep,3
clayton,2W8R0DqYzyHMe6DKYRKjSP,More - Outtake,Marcy Harriell,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,41,196480,False,spotify:track:2W8R0DqYzyHMe6DKYRKjSP,Unknown,movie tunes,0.75,0.466,3,-8.208,1,0.393,0.741,0,0.0903,0.581,95.738,audio_features,https://api.spotify.com/v1/tracks/2W8R0DqYzyHMe6DKYRKjSP,https://api.spotify.com/v1/audio-analysis/2W8R0DqYzyHMe6DKYRKjSP,4
clayton,2bwSCIuNtVrQPVddCi8sOW,Where You Are,Christopher Jackson,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,70,210320,False,spotify:track:2bwSCIuNtVrQPVddCi8sOW,Unknown,broadway,0.707,0.656,4,-9.279,1,0.173,0.743,0,0.172,0.748,118.037,audio_features,https://api.spotify.com/v1/tracks/2bwSCIuNtVrQPVddCi8sOW,https://api.spotify.com/v1/audio-analysis/2bwSCIuNtVrQPVddCi8sOW,4
clayton,2m7EWjTKCfNqrAdL1FSpd4,Warrior Face - Outtake,Lin-Manuel Miranda,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,40,136680,False,spotify:track:2m7EWjTKCfNqrAdL1FSpd4,Unknown,broadway,0.622,0.548,11,-8.492,0,0.2,0.466,0,0.211,0.301,135.001,audio_features,https://api.spotify.com/v1/tracks/2m7EWjTKCfNqrAdL1FSpd4,https://api.spotify.com/v1/audio-analysis/2m7EWjTKCfNqrAdL1FSpd4,4
clayton,2wCRJwiL1WSrW0Dwfco7Nj,Know Who You Are,Auli'i Cravalho,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,63,72627,False,spotify:track:2wCRJwiL1WSrW0Dwfco7Nj,Unknown,movie tunes,0.16,0.145,11,-20.495,0,0.0359,0.941,0.0919,0.103,0.0946,173.443,audio_features,https://api.spotify.com/v1/tracks/2wCRJwiL1WSrW0Dwfco7Nj,https://api.spotify.com/v1/audio-analysis/2wCRJwiL1WSrW0Dwfco7Nj,1
clayton,32pqqCrnIC5O5iE9c218PJ,How Far I'll Go - Reprise,Auli'i Cravalho,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,64,87347,False,spotify:track:32pqqCrnIC5O5iE9c218PJ,Unknown,movie tunes,0.427,0.449,4,-8.37,1,0.0337,0.827,0,0.134,0.231,83.197,audio_features,https://api.spotify.com/v1/tracks/32pqqCrnIC5O5iE9c218PJ,https://api.spotify.com/v1/audio-analysis/32pqqCrnIC5O5iE9c218PJ,4
clayton,3H0qlRXLI0R0B6HRZhoJTv,Village Crazy Lady - Score Demo,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,38,44987,False,spotify:track:3H0qlRXLI0R0B6HRZhoJTv,Unknown,soundtrack,0.526,0.1,0,-26.65,1,0.0416,0.965,0.835,0.107,0.434,156.011,audio_features,https://api.spotify.com/v1/tracks/3H0qlRXLI0R0B6HRZhoJTv,https://api.spotify.com/v1/audio-analysis/3H0qlRXLI0R0B6HRZhoJTv,4
clayton,3HAh7a08YVxEyb8BM645bU,We Know The Way - Finale,Lin-Manuel Miranda,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,60,69120,False,spotify:track:3HAh7a08YVxEyb8BM645bU,Unknown,broadway,0.495,0.839,9,-8.744,1,0.0529,0.551,7.08e-06,0.0862,0.122,101.08,audio_features,https://api.spotify.com/v1/tracks/3HAh7a08YVxEyb8BM645bU,https://api.spotify.com/v1/audio-analysis/3HAh7a08YVxEyb8BM645bU,4
clayton,3KhPDba7BR2uDM7tVep0dg,Climbing,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,46,54573,False,spotify:track:3KhPDba7BR2uDM7tVep0dg,Unknown,soundtrack,0.693,0.203,2,-21.99,1,0.0489,0.896,0.914,0.0957,0.176,89.963,audio_features,https://api.spotify.com/v1/tracks/3KhPDba7BR2uDM7tVep0dg,https://api.spotify.com/v1/audio-analysis/3KhPDba7BR2uDM7tVep0dg,4
