name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Such Great Heights,Streetlight Manifesto,99 Songs of Revolution Vol. 1,2D0rl6TnBNkiTvB3rRtm22,210053,False,spotify:track:2D0rl6TnBNkiTvB3rRtm22,Unknown,0.694,0.853,5,-5.042,1,0.0343,0.0169,0.00108,0.17,0.37,124.987,4
The Hands That Thieve,Streetlight Manifesto,The Hands That Thieve,0m0DAL7AJc6oo74D1OtaVJ,340186,False,spotify:track:0m0DAL7AJc6oo74D1OtaVJ,Unknown,0.342,0.858,7,-4.627,1,0.0811,0.00262,0,0.212,0.566,144.058,4
Shadow Stabbing,CAKE,Comfort Eagle,2yxkvnyno37480Hv1wuAee,187266,False,spotify:track:2yxkvnyno37480Hv1wuAee,Unknown,0.836,0.572,4,-8.236,1,0.044,0.0455,3.14e-06,0.106,0.817,130.781,4
Punk Rock Girl,Streetlight Manifesto,99 Songs of Revolution Vol. 1,3exVAgMYBpWOXk8QYjoEiz,137186,False,spotify:track:3exVAgMYBpWOXk8QYjoEiz,Unknown,0.57,0.964,0,-3.594,1,0.0697,0.0414,0,0.28,0.912,149.819,4
No Rain,Blind Melon,Blind Melon,6txWz9UapYHVxEd7dDIHXT,217106,False,spotify:track:6txWz9UapYHVxEd7dDIHXT,Unknown,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,4
Loser,Beck,Mellow Gold,5PntSbMHC1ud6Vvl8x56qd,235000,False,spotify:track:5PntSbMHC1ud6Vvl8x56qd,Unknown,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,4
The Distance,CAKE,Fashion Nugget,1szwDbVdIdoQq5mG5GXAmJ,179600,False,spotify:track:1szwDbVdIdoQq5mG5GXAmJ,Unknown,0.457,0.752,11,-8.121,0,0.09,0.00959,0.00136,0.0573,0.897,183.578,4
Flagpole Sitta,Harvey Danger,Where Have All The Merrymakers Gone?,7cz70nyRXlCJOE85whEkgU,217266,False,spotify:track:7cz70nyRXlCJOE85whEkgU,Unknown,0.361,0.901,4,-4.133,0,0.0443,0.00152,0.000263,0.286,0.482,144.97,4
Short Skirt / Long Jacket,CAKE,Comfort Eagle,3OOFEF20WqtsUPcRbPY3L7,204133,False,spotify:track:3OOFEF20WqtsUPcRbPY3L7,Unknown,0.778,0.899,2,-6.552,1,0.0451,0.0028,0.0345,0.0263,0.881,119.995,4
My Own Worst Enemy,Lit,A Place In The Sun,33iv3wnGMrrDugd7GBso1z,169026,True,spotify:track:33iv3wnGMrrDugd7GBso1z,Unknown,0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408,4
