name,artist,album,spotify_id,duration_ms
Believe,Dirty Heads,Any Port in a Storm (Special Edition),2L2yrCLlhXt8YC52vB4N8m,204320
Piano Tune - Live,Dovydas,Live Files Portfolio 10.0,4uPcc3RpxhFWy8H0EWXQ9T,497230
Banana Pancakes,Jack Johnson,In Between Dreams,451GvHwY99NKV4zdKPRWmv,191906
Good People,Jack Johnson,In Between Dreams,4eLn7z31zqzEdlKSgesohf,208506
Do You Remember,Jack Johnson,In Between Dreams,1EZJBB6bvCcrvYRlOyoHuf,144013
Lawn Chair High,Rehab,Graffiti The World,6ixYUo1vI5SmMXnQymYOzz,198746
Lochloosa,JJ Grey & Mofro,Lochloosa,6DXfLHeBxPgnn1uhrgskkm,245026
Persian Desert - Live,Dovydas,Live Files Portfolio 10.0,5PZ24jqcZLHQweQKa7AjZF,575975
Stand Tall,Dirty Heads,Any Port In A Storm (Special Edition),74ZkAOkRQ65KXJ4xAV1aAa,191253
Amber,311,From Chaos,6Fe3Flc9SjE03pqwD6PVQl,206973
The Sweetest Thing,JJ Grey & Mofro,Georgia Warhorse,4eIWY5HO2a9t33FKx5gfvk,268226
Up Down (feat. Florida Georgia Line),Morgan Wallen,If I Know Me,6SkeXwlWEHhjSZPNVSpJae,198120
Simple,Florida Georgia Line,Florida Georgia Line,1co0puPTYvqAdUEjFOjne9,185200
Spread Too Thin,Dirty Heads,Cabin By the Sea,3mdDdrgDEKVxd5GawWjKqy,180575
Old Number Seven,The Devil Makes Three,The Devil Makes Three,7FqrsV0vBwNiQNQI6jfzni,200720
Sleeping on the Blacktop,Colter Wall,Imaginary Appalachia,3Ozx6IrGdoQyAworJzvBDE,192480
The Devil Wears a Suit and Tie,Colter Wall,Imaginary Appalachia,7hlA8gMMz6jSp91Twsnuv3,236026
Nose On The Grindstone (OurVinyl Sessions),Tyler Childers,Tyler Childers | OurVinyl Sessions,4a2uqVlpRChHj32EjJLu7G,204000
Coming Down (Live),Tyler Childers,Live on Red Barn Radio I & II,5wQ22DdiU6MEDEfron2yMC,213893
Cast No Stones,Cody Jinks,Adobe Sessions,5X9XScdWmHaX6PGi9aKsSw,316019
Mamma Song,Cody Jinks,Adobe Sessions,0v1U24PRkaqgPRq96mDE8k,259360
Hippies and Cowboys,Cody Jinks,Less Wise,72Fnsr9pkCyXCmY3BS7sbx,300680
Stone,Whiskey Myers,Mud,4rJesaufMl2xD0f2G8Xgnd,335622
Ballad Of A Southern Man,Whiskey Myers,Firewater,6P7kZB7hSJFyaYJcu3cYQJ,220186
Early Morning Shakes,Whiskey Myers,Early Morning Shakes,4lXBIshfa0juWxi6odtLHt,197186
Habit 2016,The Movement,Golden,5HRShZhCWaBHnD35ZgxyrK,243186
Too Many Dirty Dishes,Tab Benoit,Live: Swampland Jam,0ohh7wgWisuxycVFRnJVFQ,473626
The High Price of Inspiration,Hard Working Americans,Rest in Chaos,65CVlqtXiLtCSdFRHC10mU,208439
No Rain - Remastered 2002,Blind Melon,Best Of Blind Melon,4ptSL1o2pRgNvrC4wsN1Pl,217800
Low Down,Hank Williams III,Straight To Hell,1kGYHnD4aHkQsyVnzyvabM,203306
In Hell I'll Be In Good Company,The Dead South,Good Company,6svak3qVN5xdaRDO1K041S,243186
Brighter Days,JJ Grey & Mofro,Brighter Days,1JT8lUbYHP3CMEdGORpS81,480893
Tennessee Whiskey,Chris Stapleton,Traveller,3fqwjXwUGN6vbzIwvyFMhx,293293
Ghost,Badflower,Ghost,3r1nwFFe5Vk7y5eYvmh2Kh,259427
Lydia,Highly Suspect,Mister Asylum,7yoBjKO6cCnK3zV8gr1k4e,242560
Off The Ground,The Record Company,Give It Back To You,3xRzUblYGZhVs52fMjii7R,253746
Rolling In The Deep - Recorded At Spotify Studios NYC,Greta Van Fleet,Spotify Singles,2VprRdTmbgyjXnDzHIcfNl,237653
My Name Is Human,Highly Suspect,The Boy Who Died Wolf,1euszbbvkUzQzIhZUWFmXG,258773
Chicago,Highly Suspect,The Boy Who Died Wolf,4Qb59tPHwD5faMFJX6u0pF,263746
Don't Follow,Alice In Chains,Jar Of Flies,7CI0VS6ETno5mgHi4PoCrY,262133
She Talks To Angels,The Black Crowes,Greatest Hits 1990-1999: A Tribute To A Work In Progress...,7HgpYzYrBLbBLyInU2FaPY,329600
Say Hello 2 Heaven,Temple Of The Dog,Temple Of The Dog,4L2S9GbwEgwfSbHjTCvNQX,384466
The Pusher,Blind Melon,Nico,0QXxJofIuWHLQafnTzFAwV,186466
Little One,Highly Suspect,The Boy Who Died Wolf,5y1jgbDNgTfxoWXv3FhH2Q,241533
S.O.S. (Sawed Off Shotgun),The Glorious Sons,Young Beauties and Fools,3NyovXfcpc8PDWWKH7xEDs,195173
Joker And The Thief,Wolfmother,Wolfmother,7ISL3LO8AWP3fKIXunvqTa,280466
Don't Worry Be Happy,Bobby McFerrin,Simple Pleasures,4hObp5bmIJ3PP3cKA9K9GY,294400
Red Red Wine - Remastered,UB40,Essential,2RXeZrnd3YnEsUPv7ODpUu,182546
Smokin',Trevor Lyon,Love Don't Care,43eJSPJinbELGFC5pSWzkP,259720
Big Rootz,Mendo Dope,Big Rootz,25FAOAL8HZrLdEhNiY8c2K,250383
Thunderbird Will Do Just Fine,Eleven Hundred Springs,Bandwagon,0jyLMizqnpG3z3L9ArOwKe,155653
Come Sail Away / Let It Go Smoosh-Up,Puddles Pity Party,Come Sail Away / Let It Go Smoosh-Up,1ZIrUVRGNdzo6LOf8HOhux,363728
Hallelujah (Live),Puddles Pity Party,Live at Joe's Pub,2X5xVXvpp0SyWXKsT4s7i6,335002
What's Up?,4 Non Blondes,"Bigger, Better, Faster, More !",0jWgAnTrNZmOGmqgvHhZEm,295533
Helena,Puddles Pity Party,Helena,0egQHJCtwyr9huIPCEypKU,288219
Reefer Madness,Kottonmouth Kings,Long Live the Kings,3kSn5Bm3UobzSfWrTYanZ8,276570
One of Them Days (feat. Twiztid),Lil Wyte,No Filter,4dDcUsGwqpkHHsGAa6jPBd,246506
In Hell,Twiztid,The Darkness,3dRSkaZjVCeZdh3Bw9oLJ1,275252
Lift Me Up,Twiztid,Abominationz (Madrox),4akeOOdk41mNCD6tqjBVfV,240240
Monster,Boondox,Abaddon,45mJSnohybe5FUD0Zjv2k2,222133
LDLHAIBCSYWA,Twiztid,Abominationz (Madrox),3XUZTfqhmaVqhzpWWGW3By,281626
2nd Hand Smoke,Twiztid,Mostasteless,2MPIQ8T8laaAtkcieQgPEJ,272693
More Than a Feeling,Boston,Boston,32kgOw8wejH7zUhtXCM8DH,285133
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,4Km5HrUvYTaSUfiSGPJeQR,343150
All The Small Things,Scott Bradlee's Postmodern Jukebox,Fake Blues,4rHrFEePW9WTMYby9bdsUr,204000
I Mean It (feat. Remo),G-Eazy,These Things Happen,6jmTHeoWvBaSrwWttr8Xvu,236480
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),3AYcyxEACnmE6d96RPubID,235613
Wanna Be a Baller,Lil' Troy,Sittin' Fat Down South (2014 Ballers Edition),7et7FNzwDt8PM4uSGaU8Qu,355082
Blueberry Yum Yum,Ludacris,The Red Light District,26liGJfeDiHLVn0qTETkt1,235093
Follow Me,Uncle Kracker,Double Wide,4KoecuyOpZaNFZ0UqVsllc,218439
Drift Away,Uncle Kracker,No Stranger to Shame,0RFgvrhkf9FiDRLA0BhzpZ,255560
3AM,Matchbox Twenty,The Matchbox Twenty Collection,77QCfMGmEG334ZR9QR5zAR,225946
All Star,Smash Mouth,Astro Lounge,3cfOd4CMv2snFaKAnMdnvK,200373
The Boys of Summer,The Ataris,"So Long, Astoria",5BmagRD7Thki6O1zZwbxBy,258000
Sail,DevilDriver,Winter Kills,0WrrIkbhC2H4WRqxqY1Xot,246480
Where's Da Bud,Three 6 Mafia,The End,0AF9qpLxETfSkWNHH47Yyz,237293
Your Song - Remastered,Elton John,Diamonds (Deluxe),2bUXfclD8DwJwwUENtSCWu,243066
Black Heart,The Damned Things,Ironiclast,7AvSLw3FP2vfFLPbP1H6Ki,197693
Brand New Key,Melanie,Gather Me,7da5B9d2oVV16YSzXVxmrR,147040
Seven Nation Army,Scott Bradlee's Postmodern Jukebox,Swipe Right For Vintage,2Lv9mFjcIFPn8zyWF89EAe,246062
Country Roads,Me First and the Gimme Gimmes,Have Another Ball,1xeMq87xBMSLpjXo85jIOQ,130933
Ain't No Mountain High Enough,Marvin Gaye,United,2H3ZUSE54pST4ubRd5FzFR,151666
She's so High,Tal Bachman,Tal Bachman,7mnGQesk1TzQLzQ9bYWZPR,224693
Light Up Light Up,Baby Bash,Ronnie Rey All Day,2U6sE7z0YeIfLbPfciNDLO,247440
My Garden,Kottonmouth Kings,High Standards and Greatest Hits,36HD3YcigYGgcXKQHfBxqU,298946
Rocket Man (I Think It's Going To Be A Long Long Time) - Remastered,Elton John,Diamonds (Deluxe),2HlCoznsLUjxP3Plgn12bf,282000
Honky Cat - Remastered,Elton John,Diamonds (Deluxe),3reKrOkPeYbWucYkbuKDeo,314066
Bennie And The Jets - Remastered,Elton John,Diamonds (Deluxe),1zf4wlu4A6iUunNuCNKp8H,323413
Closing Time,Semisonic,20th Century Masters: The Millennium Collection: Best Of Semisonic,1A5V1sxyCLpKJezp75tUXn,274160
Two Princes,Spin Doctors,Pocket Full Of Kryptonite (Anniversary Edition),0cuq829zRNq4AEdmDJA4aw,256946
Little Miss Can't Be Wrong,Spin Doctors,Pocket Full Of Kryptonite (Anniversary Edition),1uCqIhOePc6hDMG2ijk8sp,232720
Run-Around,Blues Traveler,Four,500Tkm3vJmVtdUwdCVxCTb,279800
Where The River Flows,Collective Soul,Collective Soul,4bGqztBI8a5tpT6mFbD2qS,215866
December,Collective Soul,Collective Soul,3yi27cGUFPTQUdWZV9nV67,285000
Shine,Collective Soul,"Hints, Allegations & Things Left Unsaid",6emdJW80SbDBMuHci8PJJn,306040
Santa Monica,Everclear,Sparkle And Fade,37EJtTS7jT5WUyXGZzrwnI,191506
Wonderful,Everclear,Songs From An American Movie: Learning How To Smile,0WHOPmOuQKuu05k4g3UTvk,280813
Inside Out,Eve 6,Eve 6,4GiVcDqNQI0fc0yYuRGH9m,219466
Here's to the Night,Eve 6,Horrorscope,4tgeQrPu5xkrnwErym2JsJ,249840
Think Twice,Eve 6,It's All In Your Head,0SqgZ5KpfX24W8ZeGzOle2,223493
Promise,Eve 6,Horrorscope,5mqEL5pgnDCcWtTWpAofIV,176506
Runaway Train (2022 Remaster),Soul Asylum,Grave Dancers Union (2022 Remaster),3TW48DvQ7ChwY1Yy1tkMaP,266560
"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",4HlFJV71xXKIGcU3kRyttv,216773
Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,2hKdd3qO7cWr2Jo0Bcs0MA,259933
