name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Impossible Things,Nick Johnston,Remarkably Human,20W438djxvbZGp2eo6HonF,431733,False,spotify:track:20W438djxvbZGp2eo6HonF,Unknown,0.258,0.726,4,-6.891,0,0.0467,0.251,0.762,0.342,0.232,66.689,4
Poison Touch,Nick Johnston,Remarkably Human,1msAnMnGAYebDKoNZfGmNd,264440,False,spotify:track:1msAnMnGAYebDKoNZfGmNd,Unknown,0.558,0.865,3,-5.418,0,0.0347,0.153,0.708,0.117,0.528,100.008,4
Hypergiant,Nick Johnston,Remarkably Human,3CeXNQDXmXk2hp6QualQSh,452453,False,spotify:track:3CeXNQDXmXk2hp6QualQSh,Unknown,0.521,0.686,6,-5.444,1,0.0339,0.00544,0.882,0.181,0.404,130.033,4
Weakened by Winter,Nick Johnston,Remarkably Human,5VfEPFhc8XgfNdgatQoP1B,478000,False,spotify:track:5VfEPFhc8XgfNdgatQoP1B,Unknown,0.431,0.845,11,-5.699,1,0.0492,0.136,0.684,0.238,0.322,159.853,1
Fear Had Him by the Throat,Nick Johnston,Remarkably Human,3z71tQSv5AUSYGzX0Whp0s,339960,False,spotify:track:3z71tQSv5AUSYGzX0Whp0s,Unknown,0.493,0.872,5,-5.555,0,0.0418,0.0495,0.833,0.147,0.453,159.861,4
A Sick and Injured Brain,Nick Johnston,Remarkably Human,0Ng7qgabHL3BunrCfwsrS1,571013,False,spotify:track:0Ng7qgabHL3BunrCfwsrS1,Unknown,0.286,0.44,4,-8.98,0,0.0302,0.702,0.753,0.172,0.0394,50.611,4
"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,3QAE7ypzhNZzQxOjKCGHD9,297106,False,spotify:track:3QAE7ypzhNZzQxOjKCGHD9,Unknown,0.36,0.548,3,-12.938,0,0.0468,0.328,0.217,0.971,0.244,121.801,3
"Brother - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,1vUQ9c2G2YsZU7dYhAKMhf,327266,False,spotify:track:1vUQ9c2G2YsZU7dYhAKMhf,Unknown,0.405,0.365,1,-10.927,1,0.0307,0.557,0.00048,0.89,0.076,85.781,4
"No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,1DfOxEiYPhQlN2D1arscnN,297426,False,spotify:track:1DfOxEiYPhQlN2D1arscnN,Unknown,0.601,0.77,3,-7.447,1,0.0415,0.146,0.00195,0.802,0.723,121.067,4
"Sludge Factory - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,1HUcU3GAKCR960czpLbqoD,276773,False,spotify:track:1HUcU3GAKCR960czpLbqoD,Unknown,0.508,0.507,1,-8.046,1,0.0257,0.0399,8.41e-06,0.943,0.227,166.469,3
