name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Shipoopi ( From""Family Guy"")",Geek Music,"Shipoopi (From ""Family Guy"")",0LsevFMx0RVpKhXhMnPEnv,125603,False,spotify:track:0LsevFMx0RVpKhXhMnPEnv,Unknown,0.855,0.603,6,-8.424,1,0.0626,0.699,2.39e-06,0.0923,0.967,143.576,4
Uptown Girl,Billy Joel,The Essential Billy Joel,3CSpzkoL1XgDBZ1q9aDCUV,194866,False,spotify:track:3CSpzkoL1XgDBZ1q9aDCUV,Unknown,0.696,0.943,4,-2.962,1,0.043,0.0736,0,0.653,0.832,129.002,4
FAMILY GUY REMIX,wakk,FAMILY GUY REMIX,54Fikh4RDZAtsiWVYeVyNS,121560,True,spotify:track:54Fikh4RDZAtsiWVYeVyNS,Unknown,0.794,0.462,0,-10.497,1,0.398,0.00814,5.69e-06,0.294,0.711,129.996,4
Hey Peter,VANJO INVADER!,Hey Peter,65jF7yg7tAEtganAR0z9Uh,104760,False,spotify:track:65jF7yg7tAEtganAR0z9Uh,Unknown,0.887,0.407,10,-12.327,0,0.376,0.0284,0.366,0.103,0.356,78.53,4
Ni**a Ni**a Ni**a,Gangsta Rap,Gangsta Rap: The Glockumentary,2oBd6KgXMeh0alqHHli0J4,178964,False,spotify:track:2oBd6KgXMeh0alqHHli0J4,Unknown,0.922,0.622,7,-6.517,1,0.278,0.00415,0,0.285,0.571,94.981,4
Shots,LMFAO,Party Rock,1V4jC0vJ5525lEF1bFgPX2,222133,True,spotify:track:1V4jC0vJ5525lEF1bFgPX2,Unknown,0.825,0.856,1,-1.912,1,0.0476,0.00851,1.4e-06,0.127,0.207,128.016,4
Nugget in a Biscuit,Toby Turner,Nugget in a Biscuit,6o7yykxavf5uvzP8hWfkFj,65454,False,spotify:track:6o7yykxavf5uvzP8hWfkFj,Unknown,0.937,0.624,1,-6.597,1,0.209,0.0829,0,0.104,0.307,109.944,4
Nayhoo,Chon,Homey,4WCgIZ1n7I6yRaAQ9GjS07,171080,False,spotify:track:4WCgIZ1n7I6yRaAQ9GjS07,Unknown,0.812,0.567,1,-7.119,0,0.083,0.539,0,0.11,0.616,124.945,4
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],1r9xUipOqoNwggBpENDsvJ,173381,False,spotify:track:1r9xUipOqoNwggBpENDsvJ,Unknown,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4
on god,bbno$,i don't care at all,7a7wbihbtKPnMCq17iECek,194000,True,spotify:track:7a7wbihbtKPnMCq17iECek,Unknown,0.883,0.301,8,-11.48,1,0.111,0.109,0.000457,0.0778,0.363,119.965,4
Kiss from a Rose,Dan Avidan,Kiss from a Rose,6hoYuNVT4mWsMePwfwUcbH,285526,False,spotify:track:6hoYuNVT4mWsMePwfwUcbH,Unknown,0.683,0.362,0,-8.625,1,0.0296,0.622,0,0.119,0.346,134.042,3
Truffle Butter,Nicki Minaj,Truffle Butter,3keUgTGEoZJt0QkzTB6kHg,219226,True,spotify:track:3keUgTGEoZJt0QkzTB6kHg,Unknown,0.887,0.673,10,-6.846,0,0.0503,0.0743,4.06e-05,0.124,0.491,105.113,4
Niggas In Paris,JAY-Z,Def Jam Recordings France Skyrock,3rfpTrCNol2OmFkdzWqOHe,220493,True,spotify:track:3rfpTrCNol2OmFkdzWqOHe,Unknown,0.787,0.852,1,-5.76,1,0.325,0.17,0,0.365,0.769,140.098,4
